Model,Accuracy,Precision_micro,Recall_micro,F1_micro,Precision_macro,Recall_macro,F1_macro,EM,F1
LEDGAR,0.9900199600798403,0.9900199600798403,0.9900199600798403,0.9900199600798403,0.5,0.49500998003992014,0.4974924774322969,,
ContractNLI,0.16451458632233382,0.16451458632233382,0.16451458632233382,0.16451458632233382,0.4865864527629234,0.35064149498610386,0.15600277551078465,,
CUAD,,,,,,,,0.9680446927374302,0.9680446927374302
